meta_data1,meta_data2
"0,19-4,4-0,9-655,2000122070312.png",5
"0,35-19,4-0,9-792,2000122070312.png",9
"0,63-2,8-0,9-564,2999877929688.png",4
"0,71-1,7-0,9-693,0999755859375.png",4
"0,77-5,4-0,9-543,9000244140625.png",6
"0,98-3,9-0,9-800,4000244140625.png",4
"1,13-22,5-0,9-1098,699951171875.png",11
"1,41-8,3-0,9-605,5999755859375.png",8
"1,89-1,7-0,9-871,2000122070312.png",4
"1,92-4,4-0,9-708,0.png",7
"1,94-6,3-0,9-588,4000244140625.png",5
"10,05-11,7-0,9-727,5.png",11
"10,08-16,8-0,9-526,4000244140625.png",15
"10,09-14,2-0,9-418,3999938964844.png",19
"10,48-21,3-0,9-593,7999877929688.png",12
"12,11-7,9-0,9-783,2000122070312.png",8
"12,16-22,9-0,9-536,2999877929688.png",17
"12,17-5,4-0,9-670,2000122070312.png",11
"12,33-27,4-0,9-766,0999755859375.png",11
"12,36-7,7-0,9-756,4000244140625.png",15
"12,69-10,3-0,9-678,2000122070312.png",12
"12,79-12,6-0,9-646,0999755859375.png",12
"12,8-19,1-0,9-341,8999938964844.png",24
"13,17-7,4-0,9-796,4000244140625.png",10
"13,18-20,7-0,9-773,7000122070312.png",21
"13,25-21,8-0,9-514,0999755859375.png",20
"13,37-12,5-0,9-664,5999755859375.png",16
"13,59-20,9-0,9-586,2999877929688.png",10
"13,83-20,4-0,9-629,0999755859375.png",18
"14,0-19,3-0,9-482,8999938964844.png",14
"14,05-17,9-0,9-505,3999938964844.png",25
"14,61-29,3-0,9-781,5.png",35
"14,77-26,6-0,9-561,2999877929688.png",26
"14,85-21,0-0,9-848,0999755859375.png",18
"14,92-9,8-0,9-725,4000244140625.png",8
"15,06-21,8-0,9-607,0999755859375.png",14
"15,13-23,6-0,9-774,5.png",19
"15,2-29,0-0,9-635,2999877929688.png",22
"15,35-28,8-0,9-936,2000122070312.png",24
"15,43-19,6-0,9-639,2000122070312.png",18
"15,46-12,3-0,9-492,5.png",19
"15,53-28,5-0,9-516,2000122070312.png",19
"15,64-26,8-0,9-768,0.png",18
"15,87-11,0-0,9-643,4000244140625.png",21
"16,1-12,6-0,9-635,9000244140625.png",17
"16,12-21,1-0,9-559,5999755859375.png",19
"16,31-19,4-0,9-548,2000122070312.png",20
"16,41-29,8-0,9-683,2000122070312.png",22
"16,52-19,3-0,9-699,9000244140625.png",14
"16,52-8,7-0,9-469,0.png",12
"16,56-23,8-0,9-787,0999755859375.png",18
"16,57-22,6-0,9-632,9000244140625.png",22
"16,95-14,4-0,9-417,5.png",17
"17,15-16,6-0,9-666,0999755859375.png",16
"17,22-28,2-0,9-491,29998779296875.png",27
"17,41-22,7-0,9-603,0999755859375.png",23
"18,37-27,5-0,9-497,29998779296875.png",30
"18,44-20,1-0,9-741,5.png",17
"18,47-20,0-0,9-467,1000061035156.png",20
"18,54-23,9-0,9-728,7999877929688.png",25
"18,57-19,6-0,9-673,5999755859375.png",18
"18,66-32,6-0,9-671,0.png",25
"18,85-21,0-0,9-756,2000122070312.png",19
"19,02-25,2-0,9-484,70001220703125.png",23
"19,07-22,3-0,9-736,5.png",19
"19,46-21,8-0,9-639,9000244140625.png",16
"19,48-22,0-0,9-678,0.png",28
"19,55-14,7-0,9-475,0.png",9
"19,78-22,9-0,9-561,4000244140625.png",19
"19,91-22,4-0,9-656,7000122070312.png",17
"2,04-14,6-0,9-492,8999938964844.png",16
"2,19-1,6-0,9-856,7000122070312.png",1
"2,29-4,0-0,9-522,5.png",6
"2,34-2,3-0,9-692,2999877929688.png",4
"2,46-4,3-0,9-994,9000244140625.png",3
"20,0-24,2-0,9-581,5.png",20
"20,01-27,1-0,9-862,2000122070312.png",24
"20,2-22,9-0,9-572,4000244140625.png",21
"20,55-25,7-0,9-698,2000122070312.png",19
"21,02-13,3-0,9-733,2999877929688.png",16
"21,24-24,2-0,9-413,79998779296875.png",30
"21,28-28,0-0,9-623,5999755859375.png",22
"21,42-21,4-0,9-786,2999877929688.png",19
"21,57-26,6-0,9-680,9000244140625.png",31
"21,73-20,3-0,9-769,7000122070312.png",20
"21,78-24,9-0,9-759,2999877929688.png",28
"21,85-21,7-0,9-783,0.png",17
"21,98-26,6-0,9-558,9000244140625.png",26
"22,14-28,3-0,9-774,2000122070312.png",20
"22,24-29,4-0,9-871,7000122070312.png",26
"22,47-16,5-0,9-516,5999755859375.png",25
"22,55-23,2-0,9-406,79998779296875.png",19
"22,98-29,4-0,9-655,7000122070312.png",26
"23,15-28,6-0,9-824,2999877929688.png",24
