meta_data1,meta_data2
_005616_15.png,11
_005616_20.png,15
_005616_25.png,18
_005616_30.png,21
_005616_35.png,23
_005616_40.png,30
_005616_45.png,42
_005616_5.png,3
_005616_50.png,50
_005616_55.png,63
_005616_60.png,69
_005616_65.png,71
_005616_70.png,71
_005616_75.png,71
_005616_80.png,74
_005616_85.png,74
_005616_90.png,75
_005616_95.png,73
_005620_0.png,1
_005620_10.png,3
_005620_100.png,85
_005620_15.png,6
_005620_20.png,12
_005620_25.png,29
_005620_30.png,39
_005620_35.png,41
_005620_40.png,44
_005620_45.png,47
_005620_5.png,2
_005620_50.png,54
_005620_55.png,59
_005620_60.png,66
_005620_65.png,68
_005620_70.png,73
_005620_75.png,77
_005620_80.png,80
_005620_85.png,84
_005620_90.png,82
_005620_95.png,87
_005623_0.png,0
_005623_10.png,0
_005623_100.png,75
_005623_15.png,0
_005623_20.png,3
_005623_25.png,12
_005623_30.png,36
_005623_35.png,44
_005623_40.png,47
_005623_45.png,52
_005623_5.png,0
_005623_50.png,56
_005623_55.png,56
_005623_60.png,62
_005623_65.png,66
_005623_70.png,67
_005623_75.png,74
_005623_80.png,73
_005623_85.png,71
_005623_90.png,73
_005623_95.png,68
_005625_0.png,0
_005625_10.png,0
_005625_100.png,69
_005625_15.png,2
_005625_20.png,5
_005625_25.png,15
_005625_30.png,25
_005625_35.png,32
_005625_40.png,37
_005625_45.png,42
_005625_5.png,0
_005625_50.png,42
_005625_55.png,45
_005625_60.png,51
_005625_65.png,52
_005625_70.png,56
_005625_75.png,60
_005625_80.png,61
_005625_85.png,62
_005625_90.png,69
_005625_95.png,69
_005642_0.png,1
_005642_10.png,4
_005642_100.png,73
_005642_15.png,7
_005642_20.png,12
_005642_25.png,30
_005642_30.png,35
_005642_35.png,42
_005642_40.png,47
_005642_45.png,54
_005642_5.png,3
_005642_50.png,56
_005642_55.png,60
_005642_60.png,64
_005642_65.png,67
_005642_70.png,68
_005642_75.png,71
_005642_80.png,71
_005642_85.png,72
_005642_90.png,71
_005642_95.png,71
_005643_0.png,2
_005643_10.png,5
_005643_100.png,87
_005643_15.png,12
_005643_20.png,21
_005643_25.png,30
_005643_30.png,33
_005643_35.png,38
_005643_40.png,47
_005643_45.png,50
_005643_5.png,2
_005643_50.png,58
_005643_55.png,67
_005643_60.png,70
_005643_65.png,74
_005643_70.png,76
_005643_75.png,77
_005643_80.png,79
_005643_85.png,76
_005643_90.png,84
_005643_95.png,84
_005645_0.png,3
_005645_10.png,5
_005645_100.png,79
_005645_15.png,8
_005645_20.png,21
_005645_25.png,34
_005645_30.png,39
_005645_35.png,40
_005645_40.png,41
_005645_45.png,44
_005645_5.png,3
_005645_50.png,47
_005645_55.png,55
_005645_60.png,61
_005645_65.png,67
_005645_70.png,73
_005645_75.png,75
_005645_80.png,76
_005645_85.png,83
_005645_90.png,80
_005645_95.png,80
_005658_0.png,1
_005658_10.png,6
_005658_100.png,
_005658_15.png,10
_005658_20.png,15
_005658_25.png,25
_005658_30.png,34
_005658_35.png,43
_005658_40.png,46
_005658_45.png,52
_005658_5.png,3
_005658_50.png,61
_005658_55.png,60
_005658_60.png,
_005658_65.png,
_005658_70.png,
_005658_75.png,
_005658_80.png,
_005658_85.png,
_005658_90.png,
_005658_95.png,82
_005670_0.png,3
_005670_10.png,8
_005670_100.png,79
_005670_15.png,17
_005670_20.png,23
_005670_25.png,26
_005670_30.png,30
_005670_35.png,36
_005670_40.png,44
_005670_45.png,50
_005670_5.png,4
_005670_50.png,59
_005670_55.png,62
_005670_60.png,62
_005670_65.png,69
_005670_70.png,71
_005670_75.png,74
_005670_80.png,75
_005670_85.png,80
_005670_90.png,77
_005670_95.png,80
_005685_0.png,2
_005685_10.png,6
_005685_100.png,
_005685_15.png,14
_005685_20.png,26
_005685_25.png,23
_005685_30.png,26
_005685_35.png,31
_005685_40.png,37
_005685_45.png,44
