meta_data1,meta_data2
"00187-trunc-0.60-c_fancy_age_0-1,3-0,6.png",0
"00187-trunc-0.60-c_fancy_age_0-1,6-0,6.png",1
"00187-trunc-0.60-c_fancy_age_0-1,7-0,6.png",0
"00187-trunc-0.60-c_fancy_age_0-1,9-0,6.png",0
"00187-trunc-0.60-c_fancy_age_0-2,3-0,6.png",2
"00187-trunc-0.60-c_fancy_age_0-2,7-0,6.png",1
"00187-trunc-0.60-c_fancy_age_0-3,7-0,6.png",3
"00187-trunc-0.60-c_fancy_age_0-3,8-0,6.png",4
"00187-trunc-0.60-c_fancy_age_0-4,1-0,6.png",2
"00187-trunc-0.60-c_fancy_age_0-4,2-0,6.png",3
"00187-trunc-0.60-c_fancy_age_0-4,3-0,6.png",5
"00187-trunc-0.60-c_fancy_age_0-5,2-0,6.png",7
"00187-trunc-0.60-c_fancy_age_0-6,0-0,6.png",4
"00187-trunc-0.60-c_fancy_age_0-6,3-0,6.png",3
"00187-trunc-0.60-c_fancy_age_10-1,7-0,6.png",5
"00187-trunc-0.60-c_fancy_age_10-1,8-0,6.png",4
"00187-trunc-0.60-c_fancy_age_10-13,6-0,6.png",10
"00187-trunc-0.60-c_fancy_age_10-15,1-0,6.png",16
"00187-trunc-0.60-c_fancy_age_10-15,8-0,6.png",12
"00187-trunc-0.60-c_fancy_age_10-16,2-0,6.png",12
"00187-trunc-0.60-c_fancy_age_10-2,2-0,6.png",4
"00187-trunc-0.60-c_fancy_age_10-4,0-0,6.png",4
"00187-trunc-0.60-c_fancy_age_10-4,5-0,6.png",4
"00187-trunc-0.60-c_fancy_age_10-4,9-0,6.png",5
"00187-trunc-0.60-c_fancy_age_10-5,1-0,6.png",6
"00187-trunc-0.60-c_fancy_age_10-5,5-0,6.png",5
"00187-trunc-0.60-c_fancy_age_10-6,0-0,6.png",7
"00187-trunc-0.60-c_fancy_age_10-6,1-0,6.png",4
"00187-trunc-0.60-c_fancy_age_10-6,6-0,6.png",6
"00187-trunc-0.60-c_fancy_age_10-7,2-0,6.png",6
"00187-trunc-0.60-c_fancy_age_10-7,3-0,6.png",7
"00187-trunc-0.60-c_fancy_age_10-7,5-0,6.png",7
"00187-trunc-0.60-c_fancy_age_10-9,7-0,6.png",9
"00187-trunc-0.60-c_fancy_age_15-10,0-0,6.png",11
"00187-trunc-0.60-c_fancy_age_15-11,8-0,6.png",10
"00187-trunc-0.60-c_fancy_age_15-11,9-0,6.png",14
"00187-trunc-0.60-c_fancy_age_15-13,8-0,6.png",12
"00187-trunc-0.60-c_fancy_age_15-15,3-0,6.png",10
"00187-trunc-0.60-c_fancy_age_15-15,4-0,6.png",13
"00187-trunc-0.60-c_fancy_age_15-17,9-0,6.png",19
"00187-trunc-0.60-c_fancy_age_15-18,1-0,6.png",16
"00187-trunc-0.60-c_fancy_age_15-18,6-0,6.png",17
"00187-trunc-0.60-c_fancy_age_15-22,0-0,6.png",19
"00187-trunc-0.60-c_fancy_age_15-23,6-0,6.png",20
"00187-trunc-0.60-c_fancy_age_15-27,2-0,6.png",18
"00187-trunc-0.60-c_fancy_age_15-5,2-0,6.png",5
"00187-trunc-0.60-c_fancy_age_15-6,6-0,6.png",7
"00187-trunc-0.60-c_fancy_age_15-7,1-0,6.png",8
"00187-trunc-0.60-c_fancy_age_15-8,3-0,6.png",8
"00187-trunc-0.60-c_fancy_age_20-15,8-0,6.png",12
"00187-trunc-0.60-c_fancy_age_20-17,4-0,6.png",15
"00187-trunc-0.60-c_fancy_age_20-18,7-0,6.png",17
"00187-trunc-0.60-c_fancy_age_20-19,0-0,6.png",19
"00187-trunc-0.60-c_fancy_age_20-20,2-0,6.png",18
"00187-trunc-0.60-c_fancy_age_20-20,4-0,6.png",15
"00187-trunc-0.60-c_fancy_age_20-20,6-0,6.png",15
"00187-trunc-0.60-c_fancy_age_20-21,1-0,6.png",21
"00187-trunc-0.60-c_fancy_age_20-21,5-0,6.png",21
"00187-trunc-0.60-c_fancy_age_20-22,2-0,6.png",19
"00187-trunc-0.60-c_fancy_age_20-22,3-0,6.png",24
"00187-trunc-0.60-c_fancy_age_20-23,0-0,6.png",24
"00187-trunc-0.60-c_fancy_age_20-23,1-0,6.png",21
"00187-trunc-0.60-c_fancy_age_20-24,1-0,6.png",24
"00187-trunc-0.60-c_fancy_age_20-26,3-0,6.png",25
"00187-trunc-0.60-c_fancy_age_20-27,8-0,6.png",28
"00187-trunc-0.60-c_fancy_age_20-28,0-0,6.png",26
"00187-trunc-0.60-c_fancy_age_20-28,6-0,6.png",19
